ring,year,doy,depth,sm
1,2005,164,4,39.6783
1,2005,166,4,39.8342
1,2005,168,4,39.6199
1,2005,171,4,39.724
1,2005,173,4,39.6764
1,2005,175,4,39.4755
1,2005,178,4,39.0997
1,2005,180,4,38.5853
1,2005,184,4,36.8748
1,2005,188,4,36.2397
1,2005,192,4,34.8875
1,2005,194,4,34.6511
1,2005,196,4,34.8354
1,2005,199,4,34.8523
1,2005,201,4,34.8093
1,2005,208,4,34.7393
1,2005,210,4,34.7913
1,2005,213,4,36.7511
1,2005,215,4,36.7347
1,2005,217,4,36.5826
1,2005,224,4,35.7545
