run,Assim,Qp,TL,RH,Ci,,Cond
42,-0.481861569,1499.823486,25.12469101,41.06811905,46.51422068,43.00262451,0.193326933
42,14.45393164,1499.473022,25.0982933,41.60578156,251.2466389,400.137146,0.200485943
42,20.71305112,1499.835571,25.08925056,42.00883865,389.1168191,599.6480103,0.204794655
42,25.60071549,1499.97522,25.19817543,42.41269302,735.7529472,999.7532349,0.208263801
43,15.3,1499,25.84,50.6,242,400.6,0.196
43,6.89,1498,26.13,51.2,193,299.58,0.124
43,2,1501,26.15,51.98,157,200.43,0.0914
43,-0.449,1500,26.16,52.63,131,125.77,0.0948
43,-1.78,1499,26.16,52.32,99.9,74.83,0.116
43,-3.64,1500,26.24,51.91,80.9,35.86,0.144
43,14.3,1501,26.14,51.79,232,400.98,0.167
43,23.8,1500,26.02,51.91,343,600.67,0.185
43,35.3,1499,26.1,52.3,613,1000.31,0.184
44,19.02000491,1499.879395,25.58325005,43.26069641,237.1957245,399.1572571,0.25150034
44,9.988384231,1501.060303,25.98276901,43.79128647,146.520601,299.6545105,0.12334615
44,5.163441544,1499.764282,26.13666344,44.07596588,104.7684806,200.4360809,0.100444788
44,2.192795543,1499.430054,26.34574509,44.13327026,80.46347512,124.8387451,0.093722459
44,0.50684949,1500.013916,26.32562447,44.30363846,63.78090607,75.29100037,0.095778744
44,-0.728713582,1498.80603,26.33877373,44.54965591,53.56529534,42.27552032,0.100783321
44,11.974781,1500.407349,26.27023315,44.88966751,191.7156639,400.5385132,0.106699921
44,18.3815556,1500.124512,26.2605629,45.44440079,297.096831,600.3515015,0.113674412
44,26.95886354,1501.398071,26.19543266,46.59954071,514.1122294,999.9400024,0.103196214
